first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
libmary,library,r,,library,,library,control,r,,3,r,m,libmary,3,7,real
relun,relun,pr,re,run,,rerun,target,r,,0,r,l,relun,2,5,real
chanca,chance,r,,chance,,chance,control,r,,5,e,a,chanca,3,6,real
criteria,criteria,r,,criteria,,criteria,control,r,,5,r,l,critelia,0,8,real
serve,derve,r,,serve,,serve,control,r,,0,s,d,derve,1,5,real
phanomenon,phanomenon,r,,phenomenon,,phenomenon,control,r,,2,e,a,phanomenon,2,10,real
cortrast,cortrast,r,,contrast,,contrast,control,r,,2,n,r,cortrast,2,8,real
discipline,discipline,r,,discipline,,discipline,control,r,,2,s,p,dipcipline,0,10,real
entangle,entangle,pr,en,tangle,,entangle,target,r,,4,l,n,entangne,0,8,real
address,addless,r,,address,,address,control,r,,3,r,l,addless,1,7,real
uniformll,uniformll,prs,uni,form,ly,uniformly,target,s,0.0,1,y,l,uniformll,2,9,real
disatree,disatree,pr,dis,agree,,disagree,target,r,,1,g,t,disatree,2,8,real
example,eximple,r,,example,,example,control,r,,2,a,i,eximple,1,7,real
varsatile,versatile,r,,versatile,,versatile,control,r,,1,e,a,varsatile,3,9,real
sinfullm,sinfullm,rss,,sin,ful_ly,sinfully,target,s,1.0,1,y,m,sinfullm,2,8,real
botal,total,r,,total,,total,control,r,,0,t,b,botal,3,5,real
ruthought,ruthought,pr,re,thought,,rethought,target,p,0.0,1,e,u,ruthought,2,9,real
ceuntry,country,r,,country,,country,control,r,,1,o,e,ceuntry,3,7,real
enclose,encmose,pr,en,close,,enclose,target,r,,1,l,m,encmose,1,7,real
cgimpanzee,chimpanzee,r,,chimpanzee,,chimpanzee,control,r,,1,h,g,cgimpanzee,3,10,real
whiter,whiter,rs,,whit,er,whiter,target,s,0.0,1,r,m,whitem,0,6,real
enoagh,enoagh,r,,enough,,enough,control,r,,3,u,a,enoagh,2,6,real
reinstate,reinstatu,ppr,re_in,state,,reinstate,target,r,,4,e,u,reinstatu,1,9,real
cuyably,curably,rss,,cur,abl_y,curably,target,r,,2,r,y,cuyably,3,7,real
pawadise,paradise,r,,paradise,,paradise,control,r,,2,r,w,pawadise,3,8,real
strewgth,strength,r,,strength,,strength,control,r,,4,n,w,strewgth,3,8,real
fatally,fitally,rss,,fat,al_ly,fatally,target,r,,1,a,i,fitally,1,7,real
warmer,warmey,rs,,warm,er,warmer,target,s,0.0,1,r,y,warmey,1,6,real
reoutsmart,reoutsmart,ppr,re_out,smart,,reoutsmart,target,p,0.0,0,r,w,weoutsmart,0,10,real
calouflage,camouflage,r,,camouflage,,camouflage,control,r,,2,m,l,calouflage,3,10,real
dopopulate,depopulate,prs,de,popul,ate,depopulate,target,p,0.0,1,e,o,dopopulate,3,10,real
difficolt,difficolt,r,,difficult,,difficult,control,r,,6,u,o,difficolt,2,9,real
reimport,reimport,ppr,re_im,port,,reimport,target,p,1.0,0,i,e,reemport,0,8,real
upholder,upholter,prs,up,hold,er,upholder,target,r,,3,d,t,upholter,1,8,real
