first,second,condition,prefixes,root,suffixes,word,target_type,error_to_which_morpheme,i_morpheme,i_within_morpheme,target_letter_before_error,letter_after_error,error_word,is_error,wordlength,type
acsivité,activité,rss,,act,iv_ité,activité,target,r,,2,t,s,acsivité,3,8,real
munal,munal,rs,,mur,al,mural,target,r,,2,r,n,munal,2,5,real
spectacle,spectagle,r,,spectacle,,spectacle,control,r,,6,c,g,spectagle,1,9,real
inefficace,anefficace,pr,in,efficace,,inefficace,target,p,0.0,0,i,a,anefficace,1,10,real
kéfonce,kéfonce,pr,dé,fonce,,défonce,target,p,0.0,0,d,k,kéfonce,2,7,real
bunldozer,bulldozer,r,,bulldozer,,bulldozer,control,r,,2,l,n,bunldozer,3,9,real
troisième,troisiume,rs,,trois,ième,troisième,target,s,0.0,1,è,u,troisiume,1,9,real
pesamment,pesamment,rss,,pes,am_ment,pesamment,target,s,1.0,0,m,r,pesamrent,0,9,real
immoltel,immortel,prs,im,mort,el,immortel,target,r,,2,r,l,immoltel,3,8,real
festivité,festivité,rss,,fest,iv_ité,festivité,target,r,,2,s,t,fettivité,0,9,real
certain,certain,rs,,cert,ain,certain,target,s,0.0,1,i,e,certaen,0,7,real
lormal,normal,rs,,norm,al,normal,target,r,,0,n,l,lormal,3,6,real
hiérerchie,hiérarchie,r,,hiérarchie,,hiérarchie,control,r,,4,a,e,hiérerchie,3,10,real
prothèse,proshèse,r,,prothèse,,prothèse,control,r,,3,t,s,proshèse,1,8,real
deuxaème,deuxième,rs,,deux,ième,deuxième,target,s,0.0,0,i,a,deuxaème,3,8,real
bataille,bataille,r,,bataille,,bataille,control,r,,2,t,p,bapaille,0,8,real
asthne,asthme,r,,asthme,,asthme,control,r,,4,m,n,asthne,3,6,real
langousse,langousse,r,,langouste,,langouste,control,r,,7,t,s,langousse,2,9,real
srincipe,principe,r,,principe,,principe,control,r,,0,p,s,srincipe,3,8,real
diplomate,diplomate,r,,diplomate,,diplomate,control,r,,7,t,d,diplomade,0,9,real
démontru,démontre,pr,dé,montre,,démontre,target,r,,5,e,u,démontru,3,8,real
aussi,eussi,r,,aussi,,aussi,control,r,,0,a,e,eussi,1,5,real
envol,entol,pr,en,vol,,envol,target,r,,0,v,t,entol,1,5,real
indolole,indolole,prs,in,dol,ore,indolore,target,s,0.0,1,r,l,indolole,2,8,real
personnel,personrel,rs,,personn,el,personnel,target,r,,6,n,r,personrel,1,9,real
pantoifle,pantoifle,r,,pantoufle,,pantoufle,control,r,,5,u,i,pantoifle,2,9,real
infrurouge,infrarouge,pr,infra,rouge,,infrarouge,target,p,0.0,4,a,u,infrurouge,3,10,real
décompose,décomposa,pr,dé,compose,,décompose,target,r,,6,e,a,décomposa,1,9,real
vinaisre,vinaigre,r,,vinaigre,,vinaigre,control,r,,5,g,s,vinaisre,3,8,real
dosespoir,désespoir,pr,dés,espoir,,désespoir,target,p,0.0,1,é,o,dosespoir,3,9,real
coqueluche,coqueluche,r,,coqueluche,,coqueluche,control,r,,4,e,o,coquoluche,0,10,real
grenase,grenade,r,,grenade,,grenade,control,r,,5,d,s,grenase,3,7,real
brouhaha,broehaha,r,,brouhaha,,brouhaha,control,r,,3,u,e,broehaha,1,8,real
juspice,juspice,rs,,just,ice,justice,target,r,,3,t,p,juspice,2,7,real
relire,relire,pr,re,lire,,relire,target,r,,3,e,i,reliri,0,6,real
dénudo,dénudo,prs,dé,nu,dé,dénudé,target,s,0.0,1,é,o,dénudo,2,6,real
liturgie,liturtie,r,,liturgie,,liturgie,control,r,,5,g,t,liturtie,1,8,real
ruliure,reliure,prs,re,li,ure,reliure,target,p,0.0,1,e,u,ruliure,3,7,real
sarabande,sarabande,r,,sarabande,,sarabande,control,r,,7,d,q,sarabanqe,0,9,real
recouterte,recouverte,pr,re,couverte,,recouverte,target,r,,3,v,t,recouterte,3,10,real
préalable,préalahle,r,,préalable,,préalable,control,r,,6,b,h,préalahle,1,9,real
mergarine,margarine,r,,margarine,,margarine,control,r,,1,a,e,mergarine,3,9,real
puartier,puartier,rs,,quart,ier,quartier,target,r,,0,q,p,puartier,2,8,real
privilègi,privilègi,r,,privilège,,privilège,control,r,,8,e,i,privilègi,2,9,real
déplaare,déplaare,pr,dé,plaire,,déplaire,target,r,,3,i,a,déplaare,2,8,real
dégoût,dagoût,pr,dé,goût,,dégoût,target,p,0.0,1,é,a,dagoût,1,6,real
cachumire,cachemire,r,,cachemire,,cachemire,control,r,,4,e,u,cachumire,3,9,real
piscenlit,piscenlit,r,,pissenlit,,pissenlit,control,r,,3,s,c,piscenlit,2,9,real
urgense,urgense,rs,,urg,ence,urgence,target,s,0.0,2,c,s,urgense,2,7,real
carrosse,carlosse,r,,carrosse,,carrosse,control,r,,3,r,l,carlosse,1,8,real
bravo,bravo,r,,bravo,,bravo,control,r,,0,b,x,xravo,0,5,real
pingouin,pingouén,r,,pingouin,,pingouin,control,r,,6,i,é,pingouén,1,8,real
jamais,jamais,r,,jamais,,jamais,control,r,,4,i,à,jamaàs,0,6,real
spaghesti,spaghetti,r,,spaghetti,,spaghetti,control,r,,6,t,s,spaghesti,3,9,real
concombre,concombre,r,,concombre,,concombre,control,r,,8,e,i,concombri,0,9,real
gremier,grenier,r,,grenier,,grenier,control,r,,3,n,m,gremier,3,7,real
accessoire,iccessoire,r,,accessoire,,accessoire,control,r,,0,a,i,iccessoire,1,10,real
joueer,joueur,rs,,jou,eur,joueur,target,s,0.0,1,u,e,joueer,3,6,real
prouesse,srouesse,r,,prouesse,,prouesse,control,r,,0,p,s,srouesse,1,8,real
contrah,contrat,r,,contrat,,contrat,control,r,,6,t,h,contrah,3,7,real
coltex,cortex,r,,cortex,,cortex,control,r,,2,r,l,coltex,3,6,real
puinteur,puanteur,rss,,pu,ant_eur,puanteur,target,s,0.0,0,a,i,puinteur,3,8,real
local,losal,r,,local,,local,control,r,,2,c,s,losal,1,5,real
gourmand,gourmand,r,,gourmand,,gourmand,control,r,,7,d,p,gourmanp,0,8,real
vitalité,vitalité,rss,,vit,al_ité,vitalité,target,s,1.0,0,i,e,vitaleté,0,8,real
endurance,endurance,prs,en,dur,ance,endurance,target,r,,2,r,n,endunance,0,9,real
genial,genial,rs,,géni,al,génial,target,r,,1,é,e,genial,2,6,real
encorrect,incorrect,pr,in,correct,,incorrect,target,p,0.0,0,i,e,encorrect,3,9,real
merserie,mercerie,r,,mercerie,,mercerie,control,r,,3,c,s,merserie,3,8,real
ambassade,amtassade,r,,ambassade,,ambassade,control,r,,2,b,t,amtassade,1,9,real
aissalle,aissalle,r,,aisselle,,aisselle,control,r,,4,e,a,aissalle,2,8,real
sûrement,sûremejt,rs,,sûre,ment,sûrement,target,s,0.0,2,n,j,sûremejt,1,8,real
elsuite,ensuite,pr,en,suite,,ensuite,target,p,0.0,1,n,l,elsuite,3,7,real
incroyacle,incroyable,prs,in,croy,able,incroyable,target,s,0.0,1,b,c,incroyacle,3,10,real
malignité,maliglité,rss,,mal,ign_ité,malignité,target,s,0.0,2,n,l,maliglité,1,9,real
blague,bladue,r,,blague,,blague,control,r,,3,g,d,bladue,1,6,real
ondulant,ondulant,rss,,ond,ul_ant,ondulant,target,r,,1,n,r,ordulant,0,8,real
également,également,rs,,égale,ment,également,target,r,,2,a,e,égelement,0,9,real
cmandestin,clandestin,r,,clandestin,,clandestin,control,r,,1,l,m,cmandestin,3,10,real
salamandre,salanandre,r,,salamandre,,salamandre,control,r,,4,m,n,salanandre,1,10,real
mousteche,moustache,r,,moustache,,moustache,control,r,,5,a,e,mousteche,3,9,real
garagiste,garagiste,rss,,gar,ag_iste,garagiste,target,r,,2,r,n,ganagiste,0,9,real
français,qrançais,rs,,franç,ais,français,target,r,,0,f,q,qrançais,1,8,real
phase,phasi,r,,phase,,phase,control,r,,4,e,i,phasi,1,5,real
guérillero,guérillero,r,,guérillero,,guérillero,control,r,,3,r,l,guélillero,0,10,real
artistique,artistique,rss,,art,ist_ique,artistique,target,s,0.0,1,s,x,artixtique,0,10,real
sexuamité,sexualité,rss,,sex,ual_ité,sexualité,target,s,0.0,2,l,m,sexuamité,3,9,real
hurricane,hurrifane,r,,hurricane,,hurricane,control,r,,5,c,f,hurrifane,1,9,real
réattion,réattion,prs,ré,act,ion,réaction,target,r,,1,c,t,réattion,2,8,real
électrique,électrique,rs,,électr,ique,électrique,target,r,,5,r,n,électnique,0,10,real
guenille,guenille,r,,guenille,,guenille,control,r,,3,n,m,guemille,0,8,real
poursuit,poursuit,pr,pour,suit,,poursuit,target,p,0.0,1,o,e,peursuit,0,8,real
cellophane,cellophame,r,,cellophane,,cellophane,control,r,,8,n,m,cellophame,1,10,real
chambranne,chambranne,r,,chambranle,,chambranle,control,r,,8,l,n,chambranne,2,10,real
angentin,argentin,r,,argentin,,argentin,control,r,,1,r,n,angentin,3,8,real
frambaise,frambaise,r,,framboise,,framboise,control,r,,5,o,a,frambaise,2,9,real
dévotion,dévotiom,prs,dé,vot,ion,dévotion,target,s,0.0,2,n,m,dévotiom,1,8,real
clavucule,clavicule,r,,clavicule,,clavicule,control,r,,4,i,u,clavucule,3,9,real
inoffensif,iloffensif,prs,in,offens,if,inoffensif,target,p,0.0,1,n,l,iloffensif,1,10,real
sonorité,conorité,rss,,son,or_ité,sonorité,target,r,,0,s,c,conorité,1,8,real
cathidrale,cathidrale,r,,cathédrale,,cathédrale,control,r,,4,é,i,cathidrale,2,10,real
exactement,exactement,rs,,exacte,ment,exactement,target,r,,2,a,e,exectement,0,10,real
cornichon,cornichon,r,,cornichon,,cornichon,control,r,,4,i,o,cornochon,0,9,real
nenégat,nenégat,prs,re,nég,at,renégat,target,p,0.0,0,r,n,nenégat,2,7,real
preuse,preuse,r,,preuve,,preuve,control,r,,4,v,s,preuse,2,6,real
ircurable,ircurable,prs,in,cur,able,incurable,target,p,0.0,1,n,r,ircurable,2,9,real
lecouvert,lecouvert,pr,re,couvert,,recouvert,target,p,0.0,0,r,l,lecouvert,2,9,real
peêle,poêle,r,,poêle,,poêle,control,r,,1,o,e,peêle,3,5,real
dangereuse,dangerease,rs,,danger,euse,dangereuse,target,s,0.0,1,u,a,dangerease,1,10,real
agolité,agolité,rss,,ag,il_ité,agilité,target,s,0.0,0,i,o,agolité,2,7,real
rhinocéros,mhinocéros,r,,rhinocéros,,rhinocéros,control,r,,0,r,m,mhinocéros,1,10,real
incessant,incessant,prs,in,cess,ant,incessant,target,s,0.0,1,n,l,incessalt,0,9,real
heure,heure,r,,heure,,heure,control,r,,0,h,t,teure,0,5,real
irréel,irréel,pr,ir,réel,,irréel,target,r,,3,l,r,irréer,0,6,real
impoli,inpoli,pr,im,poli,,impoli,target,p,0.0,1,m,n,inpoli,1,6,real
conseil,conceil,r,,conseil,,conseil,control,r,,3,s,c,conceil,1,7,real
lieutenalt,lieutenant,r,,lieutenant,,lieutenant,control,r,,8,n,l,lieutenalt,3,10,real
cappuccino,cappuccine,r,,cappuccino,,cappuccino,control,r,,9,o,e,cappuccine,1,10,real
hâtuf,hâtuf,rs,,hât,if,hâtif,target,s,0.0,0,i,u,hâtuf,2,5,real
coyote,coyite,r,,coyote,,coyote,control,r,,3,o,i,coyite,1,6,real
irruption,arruption,prs,ir,rupt,ion,irruption,target,p,0.0,0,i,a,arruption,1,9,real
