Root,Wordlength,Frequency,PercentileFrequency
soupe,5,67.56,63.93442623
poêle,5,67.18,63.46604215
magne,5,62.64,61.35831382
coran,5,61.96,60.88992974
poire,5,60.25,60.18735363
poker,5,57.73,58.78220141
polar,5,57.48,58.54800937
guêpe,5,53.23,56.44028103
poney,5,53.09,55.97189696
assez,5,49.57,54.56674473
pouce,5,44.96,52.22482436
aussi,5,44.22,51.75644028
poule,5,42.98,50.81967213
corps,5,42.77,50.58548009
autre,5,42.55,50.11709602
boyau,5,42.06,49.88290398
avant,5,41.59,49.64871194
haine,5,41.46,49.18032787
poupe,5,40.03,48.24355972
halle,5,39.99,48.00936768
bande,5,37.06,45.19906323
barbe,5,36.6,44.26229508
barre,5,35.02,43.32552693
merde,5,33.65,41.68618267
bravo,5,31.34,39.11007026
coton,5,30.74,37.70491803
sucre,5,30.24,36.53395785
herbe,5,30.1,36.06557377
heure,5,28.22,34.19203747
hibou,5,27.72,33.7236534
boule,5,26.71,32.78688525
hiver,5,26.5,32.31850117
homme,5,25.98,31.38173302
honte,5,24.9,30.44496487
bribe,5,24.61,29.50819672
brave,5,24.31,28.80562061
moule,5,24.18,27.86885246
prune,5,22.92,25.52693208
hôtel,5,22.69,25.29274005
sympa,5,1.52,6.791569087
